timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1476414111375,214,test,200,OK,线程组 1-1,bin,true,,8271,1,1,213,0
1476414111591,32,test,200,OK,线程组 1-1,bin,true,,12706,1,1,31,0
1476414111623,154,test,200,OK,线程组 1-1,bin,true,,102251,2,2,64,0
1476414111778,50,test,200,OK,线程组 1-1,bin,true,,1469,2,2,50,0
1476414111706,131,test,200,OK,线程组 1-2,bin,true,,33101,2,2,96,0
1476414111828,65,test,200,OK,线程组 1-1,bin,true,,3305,2,2,65,0
1476414111840,52,test,200,OK,线程组 1-2,bin,true,,1652,2,2,52,0
1476414119374,151,test,200,OK,线程组 1-1,bin,true,,8271,1,1,151,0
1476414119526,30,test,200,OK,线程组 1-1,bin,true,,12706,1,1,28,0
1476414119556,162,test,200,OK,线程组 1-1,bin,true,,102251,2,2,75,0
1476414119718,45,test,200,OK,线程组 1-1,bin,true,,1469,2,2,45,0
1476414119764,54,test,200,OK,线程组 1-1,bin,true,,3305,2,2,53,0
1476414119705,133,test,200,OK,线程组 1-2,bin,true,,33101,2,2,108,0
1476414119819,51,test,200,OK,线程组 1-1,bin,true,,1652,1,1,51,0
